left_ear,right_ear,avg_ear,mar,yaw_deg,pitch_deg,roll_deg,ear_asymmetry,nose_centrality,label_id,label_name
0.3397,0.3044,0.2532,0.224,43.0817,7.5308,-6.5559,0.0657,0.3066,1,Distracted
0.346,0.3337,0.2885,0.2772,3.0252,11.6099,6.9134,0.006,0.0676,0,Attentive
0.3017,0.2657,0.3089,0.278,11.6644,10.3766,-4.8883,0.0106,0.0655,0,Attentive
0.2401,0.121,0.1867,0.4369,1.2542,10.8281,4.9478,0.0491,0.0856,2,Drowsy
0.0422,0.0414,0.1868,0.6265,44.571,45.2599,12.797,0.0611,0.5705,3,Absent
0.2805,0.2795,0.2466,0.3104,34.5175,4.9801,11.6388,0.005,0.3078,1,Distracted
0.019,0.094,0.0822,0.6058,55.22,22.6951,24.0676,0.0585,0.5037,3,Absent
0.2971,0.2837,0.31,0.2481,11.8264,3.7996,2.7515,0.0164,0.0483,0,Attentive
0.1464,0.0974,0.0518,0.6618,13.3601,22.436,9.9628,0.0297,0.5899,3,Absent
0.2135,0.3144,0.1831,0.4429,53.0225,7.3899,5.0566,0.0361,0.2911,1,Distracted
0.2685,0.2972,0.276,0.2766,30.4714,23.4485,0.6024,0.0152,0.5621,1,Distracted
0.2373,0.168,0.1388,0.4083,14.9663,8.5669,13.6533,0.0548,0.0542,2,Drowsy
0.291,0.3571,0.3406,0.3609,1.7276,5.0694,-5.5832,0.0348,0.015,0,Attentive
0.3009,0.3209,0.2692,0.2158,6.6586,17.6876,1.3096,0.0259,0.0468,0,Attentive
0.1898,0.2023,0.2007,0.3091,10.5927,10.4252,0.8237,0.025,0.0666,2,Drowsy
0.1659,0.2579,0.2193,0.2962,3.5553,10.9048,0.1892,0.0,0.084,2,Drowsy
0.2609,0.3006,0.3368,0.2488,19.0106,16.3142,9.7944,0.0301,0.2942,1,Distracted
0.2085,0.1485,0.1421,0.3547,20.0265,5.3814,0.6868,0.0368,0.0673,2,Drowsy
0.3423,0.3173,0.1744,0.3747,44.5371,30.0641,12.4248,0.0616,0.4379,1,Distracted
0.3078,0.2835,0.2832,0.2487,12.3818,6.8052,0.1469,0.0277,0.0,0,Attentive
0.3001,0.3131,0.3298,0.2975,-8.8792,-14.8774,6.6716,0.0063,0.0433,0,Attentive
0.1858,0.343,0.318,0.3067,57.8899,0.2264,16.3258,0.0107,0.3739,1,Distracted
0.1564,0.2129,0.2241,0.3967,-5.0641,13.5537,-3.2427,0.0139,0.0375,2,Drowsy
0.2591,0.3047,0.2545,0.3183,37.5527,4.0368,8.1718,0.0409,0.4658,1,Distracted
0.3276,0.2913,0.3067,0.2661,-2.3447,9.9443,1.1252,0.0124,0.0661,0,Attentive
0.3439,0.2887,0.2304,0.3019,37.9388,3.967,8.4414,0.0,0.4491,1,Distracted
0.1937,0.1513,0.2031,0.3614,3.8209,13.2147,6.3146,0.0265,0.1279,2,Drowsy
0.1364,0.15,0.2113,0.5337,9.7904,3.8847,8.5525,0.0168,0.1231,2,Drowsy
0.1573,0.2182,0.1668,0.3025,-3.9821,12.5362,-0.7273,0.0722,0.1276,2,Drowsy
0.2407,0.2396,0.2711,0.3242,36.7767,3.5685,6.5691,0.0234,0.438,1,Distracted
0.0,0.0024,0.082,0.599,54.0484,16.4514,38.4111,0.0357,0.9324,3,Absent
0.2033,0.1861,0.229,0.5295,-14.3493,-0.4314,5.6907,0.0043,0.0441,2,Drowsy
0.1076,0.109,0.0165,0.6492,16.4579,-2.9827,15.1918,0.0425,0.6523,3,Absent
0.1418,0.1058,0.2012,0.695,-4.122,9.3636,9.5525,0.0146,0.0608,2,Drowsy
0.1138,0.0734,0.0418,0.7149,32.0868,14.9842,15.7362,0.0327,0.331,3,Absent
0.2122,0.2947,0.2556,0.3319,43.3543,24.714,10.4452,0.0518,0.2831,1,Distracted
0.2399,0.2207,0.3271,0.3171,44.4317,15.8883,6.0018,0.0592,0.2889,1,Distracted
0.0981,0.0958,0.055,0.4623,10.9751,24.2395,9.6636,0.0588,0.5035,3,Absent
0.2692,0.333,0.3265,0.2766,5.8933,15.3283,1.9984,0.0082,0.0635,0,Attentive
0.262,0.2918,0.253,0.2765,16.834,16.3088,15.5895,0.0858,0.3591,1,Distracted
0.2669,0.278,0.3315,0.2907,25.4641,2.8868,8.5708,0.056,0.3782,1,Distracted
0.2627,0.3674,0.2714,0.3241,35.0766,-8.4826,-7.2678,0.0184,0.4556,1,Distracted
0.0926,0.0526,0.0177,0.6603,-4.2811,-2.3348,14.7512,0.0271,0.6191,3,Absent
0.298,0.2893,0.3307,0.1895,6.5086,-6.5902,7.3269,0.0174,0.0881,0,Attentive
0.319,0.298,0.3412,0.381,30.8931,35.0324,5.1469,0.0107,0.2866,1,Distracted
0.4114,0.3113,0.2707,0.3321,33.5065,18.6716,5.9564,0.0318,0.3386,1,Distracted
0.1609,0.1142,0.0788,0.8438,7.7426,6.9319,7.7819,0.0657,0.3976,3,Absent
0.2446,0.2857,0.2977,0.3202,6.729,-3.1429,3.1723,0.0414,0.3989,1,Distracted
0.2151,0.1089,0.1722,0.4331,7.1351,0.085,4.1601,0.0376,0.0505,2,Drowsy
0.3087,0.2653,0.2667,0.1724,8.2964,11.3202,11.2468,0.0284,0.0849,0,Attentive
0.3423,0.297,0.3005,0.2854,4.8657,9.672,3.4356,0.0139,0.0608,0,Attentive
0.1228,0.1125,0.1884,0.538,3.3635,23.3192,-1.4122,0.0158,0.0534,2,Drowsy
0.306,0.3079,0.3318,0.2866,5.3098,-8.5842,-2.8002,0.0188,0.0528,0,Attentive
0.2839,0.3019,0.2405,0.3558,52.1791,2.7722,6.162,0.0428,0.2954,1,Distracted
0.0946,0.0868,0.0819,0.5718,-4.0008,45.4468,22.5637,0.0802,0.5333,3,Absent
0.1967,0.1837,0.1569,0.4504,-1.7151,1.757,2.3192,0.0376,0.0814,2,Drowsy
0.151,0.192,0.1736,0.3406,9.7374,3.4851,-3.4893,0.0292,0.048,2,Drowsy
0.2819,0.2578,0.2852,0.3724,46.622,15.2079,2.0427,0.045,0.1813,1,Distracted
0.1083,0.0175,0.0811,0.6258,11.072,22.1413,24.2305,0.0362,0.5157,3,Absent
0.1678,0.1436,0.2233,0.5812,-3.0729,6.7697,3.2829,0.0393,0.0826,2,Drowsy
0.1508,0.1389,0.1968,0.5129,2.4992,18.9412,2.6978,0.0339,0.1064,2,Drowsy
0.3404,0.2942,0.3368,0.2489,8.6579,13.3258,1.0329,0.0222,0.0887,0,Attentive
0.2994,0.2968,0.3305,0.1962,-3.1002,10.2541,-0.9777,0.029,0.101,0,Attentive
0.2594,0.3349,0.2356,0.2399,28.2601,9.8431,3.3733,0.0002,0.31,1,Distracted
0.2002,0.1834,0.2086,0.4266,7.7857,16.8176,0.7441,0.0448,0.0045,2,Drowsy
0.1836,0.1825,0.1983,0.3287,7.2909,4.4831,4.9999,0.0591,0.031,2,Drowsy
0.2829,0.2703,0.3137,0.2209,25.7146,-0.0811,5.5098,0.0082,0.2816,1,Distracted
0.246,0.2688,0.2824,0.3058,30.8363,1.2264,15.116,0.0782,0.3643,1,Distracted
0.1145,0.1345,0.0901,0.6489,3.9154,16.7569,8.8556,0.0672,0.38,3,Absent
0.0233,0.1102,0.0577,0.8634,21.142,38.9057,5.8641,0.0125,0.5031,3,Absent
0.3312,0.2413,0.2908,0.2607,-4.3438,15.1182,-1.177,0.0196,0.0667,0,Attentive
0.1924,0.1582,0.2167,0.573,-6.7066,20.2623,5.8236,0.0457,0.1203,2,Drowsy
0.2937,0.3003,0.3185,0.1945,23.3066,12.2957,0.6538,0.0976,0.4016,1,Distracted
0.2156,0.2132,0.2007,0.1974,5.0239,7.1292,4.8401,0.0249,0.027,2,Drowsy
0.1961,0.1992,0.139,0.5468,22.7106,14.6787,3.1858,0.0337,0.0716,2,Drowsy
0.2819,0.3026,0.2961,0.3084,5.0354,5.3632,-0.0594,0.0151,0.037,0,Attentive
0.1329,0.1362,0.1519,0.6155,1.977,-11.5337,10.0503,0.0339,0.006,2,Drowsy
0.2308,0.2635,0.3434,0.3147,5.1061,22.1672,11.5378,0.0228,0.4217,1,Distracted
0.2818,0.2977,0.3106,0.2709,-11.2081,10.4476,3.2628,0.0338,0.0633,0,Attentive
0.2617,0.2258,0.2824,0.2309,22.3398,2.7972,19.9119,0.0327,0.3862,1,Distracted
0.0223,0.0885,0.0722,0.6023,40.9076,-16.9093,10.3952,0.0,0.5977,3,Absent
0.2815,0.327,0.2794,0.3423,18.4669,4.7973,1.9424,0.0303,0.0828,0,Attentive
0.3334,0.2515,0.2915,0.2664,19.5398,-0.7051,-0.6105,0.0517,0.3352,1,Distracted
0.1441,0.0856,0.0509,0.7203,-18.0456,39.7934,31.0853,0.0859,0.782,3,Absent
0.1258,0.0774,0.1094,0.6655,19.3986,25.2459,29.5632,0.0571,0.6457,3,Absent
0.2691,0.334,0.3338,0.1834,38.9311,2.2314,3.5105,0.0362,0.3287,1,Distracted
